Date,Open,High,Low,Close,Volume
10-Jan-14,119.72,120.43,119.58,120.26,7990000
9-Jan-14,118.11,118.69,117.99,118.46,3970000
8-Jan-14,117.99,118.52,117.5,118.12,7430000
7-Jan-14,118.46,118.92,118.13,118.82,6440000
6-Jan-14,119.76,120.39,117.11,119.5,10110000
3-Jan-14,118.64,119.62,118.59,119.29,5880000
2-Jan-14,117.93,118.73,117.75,118,7570000
31-Dec-13,114.61,117.13,114.46,116.12,12840000
30-Dec-13,116.37,116.4,115.18,115.39,6710000
27-Dec-13,117.31,117.38,116.85,117.12,4210000
26-Dec-13,117.23,117.23,116.65,116.74,3870000
24-Dec-13,115.79,116.29,115.71,116.1,3350000
23-Dec-13,115.61,116.12,115.43,115.57,6240000
20-Dec-13,115.37,116.47,115.06,115.94,14700000
19-Dec-13,115.97,116.06,114.5,114.82,15980000
18-Dec-13,119,120.05,117.29,117.61,16270000
17-Dec-13,118.96,119.9,118.37,118.65,8590000
16-Dec-13,119.26,120.77,118.97,119.69,8190000
13-Dec-13,118.89,119.49,118.76,119.38,6480000
12-Dec-13,118.61,118.82,118.03,118.29,8810000
11-Dec-13,121.49,121.81,120.76,120.86,9930000
10-Dec-13,122.14,122.32,121.47,121.82,9160000
9-Dec-13,118.99,119.92,118.95,119.72,5510000
6-Dec-13,118.86,119.26,118.01,118.55,7910000
5-Dec-13,118.2,119.24,117.41,118.3,10250000
4-Dec-13,118.33,120.76,118.16,119.96,9110000
3-Dec-13,117.58,118.31,117.23,117.96,7000000
2-Dec-13,119.2,119.29,117.5,117.58,10300000
29-Nov-13,120.67,121.05,120.62,120.7,2360000
27-Nov-13,120.49,120.69,119.25,119.46,6140000
26-Nov-13,119.84,120.4,119.59,119.82,9050000
25-Nov-13,119.18,121,119.13,120.46,7270000
22-Nov-13,120.24,120.4,119.82,119.92,6780000
21-Nov-13,119.81,120.35,119.31,119.94,7560000
20-Nov-13,121.67,122.44,119.76,120.12,14280000
19-Nov-13,122.97,123.4,122.83,122.95,3670000
18-Nov-13,123.7,123.96,122.55,122.9,6240000
15-Nov-13,124.16,124.52,124.07,124.32,4660000
14-Nov-13,123.92,124.91,123.88,124.27,7670000
13-Nov-13,122.97,123.24,122.39,122.85,5970000
12-Nov-13,123.51,123.87,121.73,122.45,7710000
11-Nov-13,123.92,123.97,123.66,123.87,3280000
8-Nov-13,124.46,124.46,123.62,124.28,8430000
7-Nov-13,126.14,126.85,125.86,126.16,7700000
6-Nov-13,127.11,127.36,126.92,127.2,3540000
5-Nov-13,126.71,126.86,126,126.56,4940000
4-Nov-13,127.18,127.52,126.74,126.81,3820000
1-Nov-13,126.86,127.17,126.05,126.95,9570000
31-Oct-13,128.04,128.49,127.3,127.74,7750000
30-Oct-13,130.83,131.22,128.81,129.6,8900000
29-Oct-13,130.16,130.59,129.57,129.77,5330000
28-Oct-13,130.41,131.44,130.1,130.56,6820000
25-Oct-13,129.53,130.92,129.46,130.46,8770000
24-Oct-13,129.41,130.53,129.41,129.9,10230000
23-Oct-13,128.55,129.09,128.35,128.69,5100000
22-Oct-13,128.25,129.81,128.22,129.34,8850000
21-Oct-13,127.13,127.34,126.79,126.98,3400000
18-Oct-13,126.87,127.33,126.6,126.85,5350000
17-Oct-13,127.01,127.86,126.81,127.42,11790000
16-Oct-13,123.52,123.89,122.51,123.54,8530000
15-Oct-13,122.28,124.36,122.22,123.73,8380000
14-Oct-13,123.9,124.24,122.81,122.83,6120000
11-Oct-13,122.37,122.81,121.85,122.6,15970000
10-Oct-13,125.34,125.83,124.1,124.27,10520000
9-Oct-13,126.21,126.89,124.97,126.11,10710000
8-Oct-13,127.79,128.45,127.21,127.4,7000000
7-Oct-13,127.25,128.33,127.12,127.64,6740000
4-Oct-13,127.05,127.15,126,126.53,6920000
3-Oct-13,126.77,127.69,126.22,127.18,11630000
2-Oct-13,125.37,127.81,125.34,127.06,12000000
1-Oct-13,125.25,125.26,123.81,124.59,16720000
30-Sep-13,127.95,129.14,127.7,128.18,8980000
27-Sep-13,128.86,129.58,128.84,128.97,7450000
26-Sep-13,128.61,128.99,127.32,127.79,9490000
25-Sep-13,127.57,129.21,127.52,128.79,7520000
24-Sep-13,126.4,128.21,126.34,127.66,7350000
23-Sep-13,127.52,128.44,127.33,127.55,7430000
20-Sep-13,130.6,130.91,127.9,127.96,19560000
19-Sep-13,132,132.78,131.22,131.75,14350000
18-Sep-13,125.32,132.16,125.15,132.01,24830000
17-Sep-13,126.81,126.99,126.11,126.5,8140000
16-Sep-13,127.48,128.02,126.33,126.45,9990000
13-Sep-13,127.16,127.96,126.21,127.82,12060000
12-Sep-13,128.62,128.78,127.61,127.67,12940000
11-Sep-13,131.58,131.81,131.26,131.7,5050000
10-Sep-13,131.82,132,131.11,131.74,8430000
9-Sep-13,134.13,134.32,133.67,133.91,5090000
