Date,High,Low,Open,Close,Volume,Adj Close
2017-11-27,55360,52640,55360,52640,18128900,18118.05273
2017-11-28,53280,51720,52700,53280,13499400,18338.33398
2017-11-29,53240,52500,53200,52600,9590250,18104.28711
2017-11-30,51860,50200,50800,50800,29634150,17484.74805
2017-12-01,51780,50800,50800,50840,12868600,17498.51563
2017-12-04,51340,50020,50840,51340,14865050,17670.61133
2017-12-05,51300,50280,50600,51260,9326550,17643.07422
2017-12-06,51560,50020,51260,50020,10889200,17216.2832
2017-12-07,50980,50020,50040,50740,11065600,17464.09766
2017-12-08,52000,51040,51360,52000,11290450,17897.77344
2017-12-11,52040,51500,52000,51780,8125850,17822.05273
2017-12-12,52100,51660,51820,52100,8765050,17932.19336
2017-12-13,52100,51100,52100,51320,11333700,17663.72656
2017-12-14,52280,51060,51320,51060,20310400,17574.23633
2017-12-15,51480,50520,51240,50620,14928550,17422.79492
2017-12-18,51240,50620,50620,51200,7350250,17622.42188
2017-12-19,52080,51520,51540,51560,11978600,17746.33203
2017-12-21,51060,49100,51000,49140,15624300,16913.39648
2017-12-22,49960,49240,49400,49700,11199650,17106.14063
2017-12-26,50100,48200,49760,48200,16039850,16589.85938
2017-12-27,49560,48460,48960,49360,10743600,30669.49414
2017-12-28,50960,49500,49560,50960,8985450,31663.64063
2018-01-03,52560,51420,52540,51620,10013500,32073.72852
2018-01-04,52180,50640,52120,51080,11695450,31738.20508
2018-01-05,52120,51200,51300,52120,9481150,32384.40039
2018-01-08,52520,51500,52400,52020,8383650,32322.26367
2018-01-09,51720,49980,51460,50400,18013600,31315.69141
2018-01-10,50520,48640,50500,48840,18566800,30346.39453
2018-01-11,49260,48020,48200,48240,25123800,29973.58984
2018-01-12,48480,46760,48240,48200,27270450,29948.73242
2018-01-15,48980,47920,48800,48540,10096000,30159.99219
2018-01-16,50140,48620,48760,50000,20389650,31067.1543
2018-01-17,50020,49060,50020,49620,11053050,30831.04102
2018-01-18,50640,49820,50020,49900,14848850,31005.01758
2018-01-19,50380,49040,50380,49320,9219950,30644.64063
2018-01-22,48680,47960,48640,48240,12520900,29973.58984
2018-01-23,49160,48300,48660,49160,13532700,30545.22461
2018-01-24,49700,48560,48860,49340,9550500,30657.06641
2018-01-25,50360,49160,49220,50260,11160350,31228.70117
2018-01-26,50780,49840,50500,50780,10350100,31551.79883
2018-01-29,51480,50900,51200,51220,11838800,31825.19336
2018-01-30,50640,49780,50440,49800,12284550,30942.88281
2018-01-31,54140,49600,50020,49900,64681300,31005.01758
2018-02-01,50960,49720,50620,49820,27609450,30955.3125
2018-02-02,49400,47700,49380,47700,29260350,29638.0625
2018-02-05,48320,46000,46500,47920,28357900,29774.75977
2018-02-06,47920,46580,46600,47420,19406450,29464.08789
2018-02-07,48260,45800,48240,45800,23448050,28457.51172
2018-02-08,46620,45980,46120,46000,23251050,28581.7793
2018-02-09,45180,44420,44440,44700,17465000,27774.0332
2018-02-12,46320,45040,45100,45720,15754950,28407.80469
2018-02-13,48060,46200,46200,47540,18923250,29538.64648
2018-02-14,49100,47940,48080,49000,18905900,30445.81055
2018-02-19,49800,47860,49800,48380,15353450,30060.57617
2018-02-20,48160,47220,48040,47400,10122600,29451.66016
2018-02-21,47580,46840,47280,47280,12880200,29377.09766
2018-02-22,47260,46760,47260,46760,8869950,29054.00195
2018-02-23,47800,46760,46760,47220,12423300,29339.82031
2018-02-26,47560,47080,47280,47380,9560650,29439.23242
2018-02-27,48380,47380,48360,47380,9830550,29439.23242
2018-02-28,48100,47000,47380,47060,15162350,29240.4043
2018-03-02,46800,46000,46580,46020,13265500,28594.20703
2018-03-05,46160,45080,45820,45200,14100950,28084.70703
2018-03-06,47100,45820,45920,47020,15423350,29215.55078
2018-03-07,48900,47220,48200,48620,21427050,30209.70117
2018-03-08,49480,48080,49200,49200,19463650,30570.07813
2018-03-09,50540,49240,49440,49740,14304400,30905.60156
2018-03-12,50780,49580,50560,49740,8688950,30905.60156
2018-03-13,51660,50360,50760,51660,20098700,32098.58203
2018-03-14,52000,51000,51020,51760,12713250,32160.7168
2018-03-15,52020,51020,52000,51540,8882450,32024.01953
2018-03-16,51420,50240,51220,51140,12184900,31775.48242
2018-03-19,51340,50440,50620,50740,8218850,31526.94727
2018-03-20,51200,50100,50700,51200,8193250,31812.76563
2018-03-21,51780,51060,51780,51060,8905200,31725.77734
2018-03-22,51780,51040,51060,51780,8454100,32173.14453
2018-03-23,50720,49600,50340,49720,14854950,30893.17578
2018-03-26,50280,49040,49420,50280,10057750,31241.12891
2018-03-27,50460,49080,50320,49980,11874000,31054.72656
2018-03-28,49100,48340,49100,48700,15159450,30259.40625
2018-03-29,49560,48320,48700,49040,10067000,47868.42578
2018-03-30,49900,49080,49080,49220,7777100,48044.12891
2018-04-02,49220,48500,49000,48540,7115650,47380.375
2018-04-03,48140,47280,47880,48120,12768250,46970.40625
2018-04-04,48260,46920,48160,46920,12384200,45799.07422
2018-04-05,49380,47340,47400,48740,13245600,47575.59375
2018-04-06,48580,47400,48000,48400,12532700,47243.71875
2018-04-09,49440,48200,48260,49200,9950400,48024.60547
2018-04-10,49220,48040,48540,48880,10984350,47712.25391
2018-04-11,49900,48600,49900,48860,10051100,47692.73047
2018-04-12,49440,48880,49440,49000,12466250,47829.38672
2018-04-13,50180,49400,49600,49800,10278300,48610.26953
2018-04-16,50600,49860,50320,50340,7877450,49137.37109
2018-04-17,50540,49820,50240,49980,7772000,48785.97266
2018-04-18,51360,50580,51000,51360,13462600,50133
2018-04-19,52980,51540,52000,52780,17190550,51519.07813
2018-04-20,52260,51420,51800,51620,11761000,50386.79297
2018-04-23,52080,51000,51000,51900,11619000,50660.10547
2018-04-24,51860,50080,51840,50460,15770300,49254.50391
2018-04-25,50500,49220,49220,50400,16614600,49195.94141
2018-04-26,52160,50400,50420,52140,18046550,50894.37109
2018-04-27,53640,52440,53380,53000,30310800,51733.82422
2018-04-30,53000,53000,53000,53000,0,51733.82422
2018-05-02,53000,53000,53000,53000,0,51733.82422
2018-05-03,53000,53000,53000,53000,0,51733.82422
2018-05-04,53900,51800,53000,51900,39565391,50660.10547
2018-05-08,53200,51900,52600,52600,23104720,51343.38281
2018-05-09,52800,50900,52600,50900,16128305,49683.99219
2018-05-10,51700,50600,51700,51600,13905263,50367.26953
2018-05-11,52200,51200,52000,51300,10314997,50074.4375
2018-05-14,51100,49900,51000,50100,14909272,48903.10547
2018-05-15,50400,49100,50200,49200,18709146,48024.60547
2018-05-16,50200,49150,49200,49850,15918683,48659.07813
2018-05-17,50500,49400,50300,49400,10365440,48219.82813
2018-05-18,49900,49350,49900,49500,6706570,48317.4375
2018-05-21,50200,49100,49650,50000,9020998,48805.49609
2018-05-23,52000,50400,50600,51800,17095490,50562.49219
2018-05-24,52000,51100,52000,51400,8289275,50172.05078
2018-05-25,52800,50800,51000,52700,15207266,51440.99219
2018-05-28,53000,52000,52500,52300,9787820,51050.54688
2018-05-29,52500,51300,52200,51300,8480437,50074.4375
2018-05-30,51500,49100,51300,49500,20498098,48317.4375
2018-05-31,50800,49850,50400,50700,63491109,49488.77344
2018-06-01,51700,49950,50500,51300,13038499,50074.4375
2018-06-04,51200,50700,50800,51100,9767171,49879.21484
2018-06-05,51400,50400,51100,51300,9144100,50074.4375
2018-06-07,51800,50500,51800,50600,13590016,49391.16016
2018-06-08,50400,49600,50200,49650,16951706,48463.85938
2018-06-11,50300,49350,49750,49900,10571312,48707.88281
2018-06-12,49800,49250,49700,49400,12110569,48219.82813
2018-06-14,49000,48200,49000,48200,20971729,47048.49219
2018-06-15,48700,47650,48500,47650,17080892,46511.63672
2018-06-18,47650,46200,47600,46600,16661870,45486.71875
2018-06-19,47350,46500,47200,47000,15217971,45877.16406
2018-06-20,47600,46850,47450,47000,12959316,45877.16406
2018-06-21,47900,47050,47900,47050,10015541,45925.97266
2018-06-22,47250,46200,47000,47250,10298006,46121.19141
2018-06-25,47050,46150,47050,46650,10587711,45535.52344
2018-06-26,47300,45900,45900,47000,11223166,45877.16406
2018-06-27,48500,47000,47450,47950,15274752,46804.46875
2018-06-28,47150,46600,46850,46800,12784800,46021.70703
2018-06-29,47150,46200,46250,46650,14099635,45874.19922
2018-07-02,47150,45500,46500,45550,13112253,44792.49609
2018-07-03,46450,45750,45750,46150,10959655,45382.51563
2018-07-04,47050,46050,46700,46250,8776763,45480.85156
2018-07-05,46550,45600,46100,45950,7039773,45185.83984
2018-07-06,45850,44650,45500,44900,17843706,44153.30469
2018-07-09,46100,45200,45500,45600,11602464,44841.66016
2018-07-10,46550,46100,46200,46300,10528665,45530.01953
2018-07-11,46450,45400,46400,46000,11224077,45235.01172
2018-07-12,46250,45450,45900,45500,11828104,44743.32813
2018-07-13,46500,45750,45800,46500,11543389,45726.69531
2018-07-16,46800,46000,46800,46050,7678719,45284.17969
2018-07-17,46200,45600,46150,45850,8892953,45087.50781
2018-07-18,47200,46450,46700,46550,10952645,45775.86328
2018-07-19,47200,46600,47050,46900,9880128,46120.04297
2018-07-20,47600,46700,47000,47450,10474547,46660.89844
2018-07-23,47200,46150,47100,46500,10823782,45726.69531
2018-07-24,46600,45950,46350,46150,8261363,45382.51563
2018-07-25,46550,45900,46250,46150,7222471,45382.51563
2018-07-26,47000,46000,46100,46900,7374946,46120.04297
2018-07-27,47000,46450,46450,46900,4762460,46120.04297
2018-07-30,46800,46350,46550,46500,5723035,45726.69531
2018-07-31,46450,46000,46200,46250,8033607,45480.85156
2018-08-01,46850,46050,46050,46550,7484499,45775.86328
2018-08-02,46800,45500,46550,45550,8560924,44792.49609
2018-08-03,45900,45450,45850,45750,8274944,44989.16797
