Date,Open,High,Low,Close,Volume
2-Jul-18,118.18,118.21,117.4,117.46,12020000
3-Jul-18,118.41,119.08,118.38,118.65,8900000
5-Jul-18,118.92,119.33,118.77,119.05,4950000
6-Jul-18,118.97,119.03,118.73,118.86,2950000
9-Jul-18,119.65,119.73,119.14,119.15,4080000
10-Jul-18,118.89,119.0,118.61,118.93,3750000
11-Jul-18,118.45,118.53,117.62,117.64,6970000
12-Jul-18,118.0,118.26,117.94,118.13,4590000
13-Jul-18,117.62,117.75,117.45,117.61,5440000
16-Jul-18,117.51,117.62,117.28,117.55,3670000
17-Jul-18,116.72,116.92,116.12,116.28,7940000
18-Jul-18,116.03,116.35,115.83,116.31,5390000
19-Jul-18,115.13,116.47,115.12,115.81,14230000
20-Jul-18,116.4,116.71,116.24,116.56,7890000
23-Jul-18,116.25,116.31,115.76,116.0,6250000
24-Jul-18,116.22,116.43,115.91,116.04,4800000
25-Jul-18,116.79,116.84,116.27,116.68,5480000
26-Jul-18,116.24,116.51,115.77,115.77,6380000
27-Jul-18,115.92,116.24,115.77,115.83,5240000
30-Jul-18,115.8,116.02,115.64,115.65,4160000
31-Jul-18,115.47,116.35,115.39,115.99,5510000
1-Aug-18,115.63,115.7,115.12,115.14,7940000
2-Aug-18,115.17,115.23,114.42,114.52,6200000
3-Aug-18,115.09,115.53,114.86,114.92,5950000
6-Aug-18,114.56,114.72,114.31,114.33,5810000
7-Aug-18,114.85,114.94,114.42,114.59,5190000
8-Aug-18,114.75,114.95,114.41,114.91,3810000
9-Aug-18,115.02,115.12,114.69,114.74,4250000
10-Aug-18,114.81,115.23,114.61,114.69,6760000
13-Aug-18,113.81,113.81,112.83,112.96,9150000
14-Aug-18,113.25,113.48,112.84,113.07,7090000
15-Aug-18,112.17,112.18,111.06,111.19,12400000
16-Aug-18,111.46,111.88,111.1,111.1,7480000
17-Aug-18,111.69,112.15,111.38,112.13,8470000
20-Aug-18,112.38,112.74,112.16,112.69,5310000
21-Aug-18,112.77,113.1,112.44,113.02,5040000
22-Aug-18,113.39,113.49,113.07,113.27,6220000
23-Aug-18,112.68,112.88,112.06,112.2,5500000
24-Aug-18,113.25,114.42,113.21,114.16,9210000
27-Aug-18,114.12,114.78,114.12,114.59,4360000
28-Aug-18,114.76,114.87,113.55,113.68,6100000
29-Aug-18,114.16,114.21,113.85,114.2,5620000
30-Aug-18,113.92,113.93,113.24,113.64,5430000
31-Aug-18,113.72,114.06,113.44,113.51,5050000
4-Sep-18,112.75,113.07,112.61,112.93,6620000
5-Sep-18,113.36,113.44,113.12,113.32,4460000
6-Sep-18,113.89,114.26,113.28,113.54,4780000
