Date,Open,High,Low,Close,Volume
23-Jan-19,52.95,53.64,51.86,52.62,702870
24-Jan-19,52.45,53.47,52.07,53.13,714420
25-Jan-19,53.17,53.94,52.91,53.69,593390
28-Jan-19,53.56,53.64,51.33,51.99,650670
29-Jan-19,52.12,53.93,51.84,53.31,660530
30-Jan-19,53.24,54.93,53.09,54.23,731310
31-Jan-19,54.28,55.37,53.62,53.79,718650
1-Feb-19,54.01,55.66,53.37,55.26,689570
4-Feb-19,55.32,55.75,53.29,54.56,622470
5-Feb-19,54.86,55.21,53.47,53.66,609760
6-Feb-19,53.73,54.3,52.86,54.01,606720
7-Feb-19,53.94,54.21,51.8,52.64,749010
8-Feb-19,52.59,52.99,52.08,52.72,621000
11-Feb-19,52.66,52.78,51.23,52.41,750240
12-Feb-19,52.47,54.05,52.29,53.1,708310
13-Feb-19,53.35,54.6,53.27,53.9,706550
14-Feb-19,53.96,54.68,53.08,54.41,623550
15-Feb-19,54.48,55.87,54.24,55.59,276910
19-Feb-19,55.78,56.33,55.29,56.09,153730
20-Feb-19,55.94,57.55,55.48,56.92,37680
21-Feb-19,57.24,57.61,56.64,56.96,546200
22-Feb-19,56.84,57.81,56.71,57.26,513440
25-Feb-19,57.17,57.53,55.08,55.48,723010
26-Feb-19,55.46,56.08,55.02,55.5,538920
27-Feb-19,55.95,57.39,55.72,56.94,577230
28-Feb-19,57.0,57.43,56.43,57.22,496680
1-Mar-19,57.22,57.88,55.57,55.8,684190
4-Mar-19,55.83,57.0,55.81,56.59,549400
5-Mar-19,56.45,57.19,56.09,56.56,538400
6-Mar-19,56.28,56.4,55.42,56.22,637680
7-Mar-19,56.2,56.99,56.08,56.66,628820
8-Mar-19,56.43,56.51,54.52,56.07,747360
11-Mar-19,56.07,57.01,55.96,56.79,597160
12-Mar-19,56.76,57.55,56.74,56.87,652800
13-Mar-19,57.09,58.48,57.01,58.26,610620
14-Mar-19,58.35,58.74,58.0,58.61,567600
15-Mar-19,58.51,58.95,57.74,58.52,507390
18-Mar-19,58.45,59.23,58.05,59.09,157240
19-Mar-19,59.01,59.57,58.62,59.03,114820
20-Mar-19,59.02,60.12,58.39,59.83,31130
21-Mar-19,59.99,60.39,59.66,59.98,655380
22-Mar-19,59.87,60.07,58.28,59.04,738840
25-Mar-19,58.98,59.35,58.17,58.82,705400
26-Mar-19,59.12,60.38,59.04,59.94,685990
27-Mar-19,60.03,60.22,58.81,59.41,732150
28-Mar-19,59.4,59.56,58.2,59.3,712210
29-Mar-19,59.53,60.73,59.41,60.14,705560
1-Apr-19,60.24,61.8,60.13,61.59,670810
